movie name,imdb name,year,description,trailer link,movie id,imdb score,rotten score,cinema score,user score
Bride Wars,Bride Wars,2009,"Bride Wars is a movie starring Kate Hudson, Anne Hathaway, and Candice Bergen. Two best friends become rivals when they schedule their respective weddings on the same day.",https://www.imdb.com/video/imdb/vi4251058201,tt0901476,5.5,10,Cinemascore,NA
Not Easily Broken,Not Easily Broken,2009,"Not Easily Broken is a movie starring Morris Chestnut, Taraji P. Henson, and Maeve Quinlan. A car accident and shifting affections test the bond between a married couple.",https://www.imdb.com/video/imdb/vi1784283161,tt0795438,6.1,31,Cinemascore,NA
The Unborn,The Unborn,2009,"The Unborn is a movie starring Odette Annable, Gary Oldman, and Cam Gigandet. A young woman fights the spirit that is slowly taking possession of her.",https://www.imdb.com/video/imdb/vi1283325977,tt1139668,4.8,,Cinemascore,NA
Yonker's Joe,Yonkers Joe,2009,"Yonkers Joe is a movie starring Chazz Palminteri, Michael Lerner, and Nate Bynum. Family life gets in the way of a con man's search for the perfect scam.",https://www.imdb.com/video/imdb/vi1121714969,tt1018830,6.4,55,Cinemascore,NA
Chandni Chowk To China,Chandni Chowk to China,2009,"Chandni Chowk to China is a movie starring Akshay Kumar, Deepika Padukone, and Chia-Hui Liu. An action-comedy about a simple cook from Chandni Chowk mistaken for the reincarnation of an ancient peasant warrior Liu Shengh by...",https://www.imdb.com/video/imdb/vi1568932633,tt1091229,4.0,42,Cinemascore,NA
Hotel For Dogs,Hotel for Dogs,2009,"Hotel for Dogs is a movie starring Emma Roberts, Jake T. Austin, and Lisa Kudrow. Two kids secretly take in stray dogs at a vacant hotel.",https://www.imdb.com/video/imdb/vi3092774937,tt0785006,5.4,46,Cinemascore,NA
Mall Cop:,Paul Blart: Mall Cop,2009,"Paul Blart: Mall Cop is a movie starring Kevin James, Keir O'Donnell, and Jayma Mays. When a shopping mall is taken over by a gang of organized crooks, it's up to a mild-mannered security guard to save the day.",https://www.imdb.com/video/imdb/vi1000931865,tt1114740,5.2,,Cinemascore,NA
My Bloody Valentine,My Bloody Valentine,2009,"My Bloody Valentine is a movie starring Jensen Ackles, Jaime King, and Kerr Smith. Tom returns to his hometown on the tenth anniversary of the Valentine's night massacre that claimed the lives of 22 people. Instead of a homecoming,...",https://www.imdb.com/video/imdb/vi1610154777,tt1179891,5.4,47,Cinemascore,NA
Notorious,Notorious,2009,"Notorious is a movie starring Jamal Woolard, Anthony Mackie, and Derek Luke. The life and death story of Notorious B.I.G. (a.k.a. Christopher Wallace), who came straight out of Brooklyn to take the world of rap music by storm.",https://www.imdb.com/video/imdb/vi3698130969,tt0472198,6.7,,Cinemascore,NA
Notorious,Notorious,2009,"Notorious is a movie starring Jamal Woolard, Anthony Mackie, and Derek Luke. The life and death story of Notorious B.I.G. (a.k.a. Christopher Wallace), who came straight out of Brooklyn to take the world of rap music by storm.",https://www.imdb.com/video/imdb/vi3698130969,tt0472198,6.7,,Cinemascore,NA
Of Time And The City,Of Time and the City,2009,"Of Time and the City is a movie starring Terence Davies. A filmmaker looks at the history and transformation of his birthplace, Liverpool, England.",https://www.imdb.com/video/imdb/vi4139778841,tt1232790,7.3,93,Cinemascore,NA
Donkey Punch,Donkey Punch,2009,"Donkey Punch is a movie starring Sian Breckin, Nichola Burley, and Jaime Winstone. Things go drastically wrong for a group of British holidaymakers in Spain.",https://www.imdb.com/video/imdb/vi3543204633,tt0988849,5.1,52,Cinemascore,NA
Inkheart,Inkheart,2009,"Inkheart is a movie starring Brendan Fraser, Andy Serkis, and Eliza Bennett. A teenage girl discovers her father has an amazing talent to bring characters out of their books and must try to stop a freed villain from destroying them...",https://www.imdb.com/video/imdb/vi1905656601,tt0494238,6.1,38,Cinemascore,NA
Killshot,Killshot,2009,"Killshot is a movie starring Thomas Jane, Diane Lane, and Mickey Rourke. Beautiful Carmen Colson and her ironworker husband Wayne are placed in the Federal Witness Protection program after witnessing an ""incident"". Thinking they are...",https://www.imdb.com/video/imdb/vi1505755929,tt0443559,6.0,43,Cinemascore,NA
Outlander,Outlander,2009,"Outlander is a movie starring Jim Caviezel, Sophia Myles, and Ron Perlman. During the reign of the Vikings, Kainan, a man from a far-off world, crash lands on Earth, bringing with him an alien predator known as the Moorwen. Though...",https://www.imdb.com/video/imdb/vi3628270361,tt0462465,6.2,37,Cinemascore,NA
Underworld 3: Rise of the Lycans,Underworld: Rise of the Lycans,2009,"Underworld: Rise of the Lycans is a movie starring Rhona Mitra, Michael Sheen, and Bill Nighy. An origins story centered on the centuries-old feud between the race of aristocratic vampires and their onetime slaves, the Lycans.",https://www.imdb.com/video/imdb/vi3494969369,tt0834001,6.6,,Cinemascore,NA
Medicine For Melancholy,Medicine for Melancholy,2009,"Medicine for Melancholy is a movie starring Wyatt Cenac, Tracey Heggins, and Elizabeth Acker. Twenty-four hours in the tentative relationship of two young San Franciscans also dealing with the conundrum of being a minority in a...",https://www.imdb.com/video/imdb/vi1983644441,tt1133989,6.6,84,Cinemascore,NA
New In Town,New in Town,2009,"New in Town is a movie starring Renée Zellweger, Harry Connick Jr., and Siobhan Fallon Hogan. A Miami businesswoman adjusts to her new life in a tiny Minnesota town.",https://www.imdb.com/video/imdb/vi1554121497,tt1095174,5.6,28,Cinemascore,NA
Serbis,Serbis,2009,"Serbis is a movie starring Gina Pareño, Jaclyn Jose, and Julio Diaz. A drama that follows the travails of the Pineda family in the Filipino city of Angeles. Bigamy, unwanted pregnancy, possible incest and bothersome skin irritations...",https://www.imdb.com/video/imdb/vi4091085593,tt1225296,6.2,86,Cinemascore,NA
The Uninvited,The Uninvited,2009,"The Uninvited is a movie starring Emily Browning, Arielle Kebbel, and Elizabeth Banks. Anna returns home after a stint in a mental hospital, but her recovery is jeopardized by her cruel stepmother and ghastly visions of her dead...",https://www.imdb.com/video/imdb/vi3414032409,tt0815245,6.3,,Cinemascore,NA
The Objective,The Objective,2009,"The Objective is a movie starring Jonas Ball, Matthew R. Anderson, and Jon Huertas. A military special operations team, led by a CIA case officer, are on a mission in the harsh and hostile terrain of Afghanistan where they find...",https://www.imdb.com/video/imdb/vi1295254297,tt0962711,5.5,,Cinemascore,NA
Absurdistan,Absurdistan,2009,"Absurdistan is a movie starring Max Mauff, Kristýna Podzimková, and Nino Chkheidze. An allegorical comedy centered on two childhood sweethearts who seem destined for one another until the women of their isolated village, angered by...",https://www.imdb.com/video/imdb/vi2183136025,tt1027658,6.8,83,Cinemascore,NA
Chocolate,Blood and Chocolate,2009,"Blood and Chocolate is a movie starring Agnes Bruckner, Hugh Dancy, and Olivier Martinez. A young teenage werewolf is torn between honoring her family's secret and her love for a man.",NA,tt0397044,5.5,,Cinemascore,NA
Coraline,Coraline,2009,"Coraline is a movie starring Dakota Fanning, Teri Hatcher, and John Hodgman. An adventurous 11-year-old girl finds another world that is a strangely idealized version of her frustrating home, but it has sinister secrets.",https://www.imdb.com/video/imdb/vi513934105,tt0327597,7.7,90,Cinemascore,NA
Fanboys,Fanboys,2009,"Fanboys is a movie starring Dan Fogler, Jay Baruchel, and Kristen Bell. Star Wars fanatics take a cross-country trip to George Lucas' Skywalker Ranch so their dying friend can see a screening of Star Wars: Episode I - The Phantom...",https://www.imdb.com/video/imdb/vi3468690201,tt0489049,6.6,32,Cinemascore,NA
Our City Dreams,Our City Dreams,2009,"Our City Dreams is a movie starring Marina Abramovic, Ghada Amer, and Caledonia Curry. Filmed over the course of two years, Our City Dreams is the story of a woman's struggles and successes as an artist in New York City. Told...",https://www.imdb.com/video/imdb/vi3147170329,tt0968760,6.7,75,Cinemascore,NA
Push,Push,2009,"Push is a movie starring Camilla Belle, Dakota Fanning, and Chris Evans. Two young Americans with special abilities must race to find a girl in Hong Kong before a shadowy government organization called Division does.",https://www.imdb.com/video/imdb/vi2707750937,tt0465580,6.1,100,Cinemascore,NA
The Pink Panther 2,The Pink Panther 2,2009,"The Pink Panther 2 is a movie starring Steve Martin, Jean Reno, and Emily Mortimer. Insp. Jacques Clouseau teams up with a squad of International detectives who are just as bumbling as he is. Their mission: Stop a globe-trotting...",https://www.imdb.com/video/imdb/vi3470721817,tt0838232,5.6,,Cinemascore,NA
