movie name,imdb name,year,description,trailer link,movie id,imdb score,rotten score,cinema score,user score
A Different American Dream,NA,2017,NA,NA,NA,-1,,-1,NA
"Accidental Courtesy Daryl Davis, Race and America",NA,2017,NA,NA,NA,-1,83,-1,NA
Memory of The Camps,NA,2017,NA,NA,NA,-1,,-1,NA
The Ardennes,NA,2017,NA,NA,NA,-1,57,-1,NA
Underworld Blood Wars,NA,2017,NA,NA,NA,-1,19,-1,NA
Alone in Berlin,NA,2017,NA,NA,NA,-1,58,-1,NA
Bye Bye Man,The Bye Bye Man,2017,"The Bye Bye Man is a movie starring Douglas Smith, Lucien Laviscount, and Cressida Bonas. Three friends stumble upon the horrific origins of a mysterious figure they discover is the root cause of the evil behind unspeakable acts.",https://www.imdb.com/video/imdb/vi1403827737,tt4030600,4.3,19,C,NA
Monster Trucks,NA,2017,NA,NA,NA,-1,32,A,NA
Saving Banksy,Saving Banksy,2017,"Saving Banksy is a movie starring Ben Eine, Glen E. Friedman, and Kelly 'Risk' Graval. Internationally known graffiti artist, Banksy, left his mark on San Francisco in April 2010. Little did he know that this act of vandalism would...",https://www.imdb.com/video/imdb/vi2602612249,tt4036488,6.8,100,-1,NA
Sleepless,Sleepless,2017,"Sleepless is a movie starring Jamie Foxx, Michelle Monaghan, and Dermot Mulroney. A cop with a connection to the criminal underworld scours a nightclub in search of his kidnapped son.",https://www.imdb.com/video/imdb/vi931509785,tt2072233,5.6,23,B+,NA
The Book of Love,NA,2017,NA,NA,NA,-1,8,-1,NA
The Crash,Jekyll Island,2017,"Jekyll Island is a movie starring Frank Grillo, Minnie Driver, and AnnaSophia Robb. In the not-so-distant future, a team of white-collar criminals are enlisted by the Federal government to thwart a cyber-attack that threatens to...",https://www.imdb.com/video/imdb/vi3234379289,tt3297382,4.2,17,-1,NA
Vince Giordano There's a Future in the Past,NA,2017,NA,NA,NA,-1,100,-1,NA
We Are the Flesh,We Are the Flowers in Your Dustbin,2017,"We Are the Flowers in Your Dustbin is a movie starring Gary Lammin, Buster Bloodvessel, and Cass Pennant. When the innocence of youth culture collides with the skepticism and sensationalism of mass media.",NA,tt6087070,0,76,-1,NA
Worlds Apart,NA,2017,NA,NA,NA,-1,,-1,NA
Antarctica Ice And Sky,NA,2017,NA,NA,NA,-1,89,-1,NA
Detour,NA,2017,NA,NA,NA,-1,66,-1,NA
My Father Die,NA,2017,NA,NA,NA,-1,69,-1,NA
Sophie and the Rising Sun,NA,2017,NA,NA,NA,-1,64,-1,NA
Split,NA,2017,NA,NA,NA,-1,77,B+,NA
Starless Dreams,NA,2017,NA,NA,NA,-1,100,-1,NA
Staying Vertical,Remaking Vertical Features,2017,NA,NA,tt6024818,0,74,-1,NA
The Red Turtle,NA,2017,NA,NA,NA,-1,93,-1,NA
The Resurrection Of Gavin Stone,NA,2017,NA,NA,NA,-1,50,-1,NA
The Sunshine Makers,NA,2017,NA,NA,NA,-1,100,-1,NA
Trespass Against Us,NA,2017,NA,NA,NA,-1,57,-1,NA
xXx Return of Xander Cage,xXx: Return of Xander Cage,2017,"xXx: Return of Xander Cage is a movie starring Vin Diesel, Donnie Yen, and Deepika Padukone. Xander Cage is left for dead after an incident, though he secretly returns to action for a new, tough assignment with his handler Augustus...",https://www.imdb.com/video/imdb/vi2837952025,tt1293847,5.2,45,-1,NA
A Dog's Purpose,A Dog's Purpose,2017,"A Dog's Purpose is a movie starring Josh Gad, Dennis Quaid, and Peggy Lipton. A dog looks to discover his purpose in life over the course of several lifetimes and owners.",https://www.imdb.com/video/imdb/vi3182736921,tt1753383,7.1,34,-1,NA
Emily,NA,2017,NA,NA,NA,-1,,B,NA
Get The Girl,Get the Girl,2017,"Get the Girl is a movie starring Justin Dobies, Elizabeth Whitson, and Noah Segan. A wealthy young man is conned into staging a fake kidnapping in order to be a hero and win the affection of a girl he's madly in love with. But when...",https://www.imdb.com/video/imdb/vi2787489305,tt4045894,5.0,13,-1,NA
Lost In Florence,Lost in Florence,2017,"Lost in Florence is a movie starring Brett Dalton, Stana Katic, and Alessandra Mastronardi. A heartbroken American in Florence gets involved in a dangerous local sport -- and with an alluring local woman.",https://www.imdb.com/video/imdb/vi2419308057,tt3809276,5.0,14,-1,NA
Massacre On Aisle 12,NA,2017,NA,NA,NA,-1,,-1,NA
